image,Accuracy,IoU,Precision,Recall,Dice,AUC
10084,0.9441070556640625,0.804879367351532,0.9692110419273376,0.8259990215301514,0.891892671585083,0.984411998970179
10571,0.9069366455078125,0.6557349562644958,0.7122187614440918,0.8921056389808655,0.7920771837234497,0.9710937510007862
11098,0.9575042724609375,0.865718424320221,0.9214780330657959,0.9346694350242615,0.9280268549919128,0.9924897608495014
11111,0.9523773193359375,0.8886192440986633,0.9080300331115723,0.9765088558197021,0.9410253167152405,0.9944277801906133
11161,0.9681854248046875,0.8692953586578369,0.9479116797447205,0.9129032492637634,0.9300781488418579,0.9945670182220534
11411,0.964202880859375,0.8099635243415833,0.8331111669540405,0.9668342471122742,0.8950053453445435,0.9955269974152878
11558,0.9159698486328125,0.7403950691223145,0.8483768105506897,0.8533086776733398,0.8508356213569641,0.9684061449025643
11828,0.9558258056640625,0.8495791554450989,0.9272428154945374,0.9102599620819092,0.9186729192733765,0.991268190477028
12005,0.9636383056640625,0.9274603724479675,0.9359505772590637,0.9903140068054199,0.9623651504516602,0.9974455958586034
12335,0.9345245361328125,0.8662281632423401,0.8967564702033997,0.9621857404708862,0.9283196926116943,0.9892211126146806
12455,0.9694976806640625,0.824787437915802,0.9241799116134644,0.8846479058265686,0.9039819240570068,0.9944624103901327
12618,0.93365478515625,0.7303063869476318,0.9338515400886536,0.7701465487480164,0.8441353440284729,0.98451694118366
12749,0.97723388671875,0.8432443737983704,0.9549077749252319,0.8782142400741577,0.9149566888809204,0.9969622526365466
12877,0.982513427734375,0.922289252281189,0.9572102427482605,0.9619492292404175,0.9595738649368286,0.9984435921255518
12943,0.94598388671875,0.8801827430725098,0.8980557322502136,0.9778889417648315,0.9362736344337463,0.9934156312653007
12960,0.964599609375,0.8432008624076843,0.8950426578521729,0.9357233643531799,0.914931058883667,0.9938917220416288
13114,0.9662933349609375,0.882954478263855,0.954792857170105,0.9214775562286377,0.9378394484519958,0.994995568625275
13128,0.9714202880859375,0.873137354850769,0.9062214493751526,0.9598659873008728,0.9322726726531982,0.9968157483775199
13200,0.962158203125,0.9037192463874817,0.9472613334655762,0.9515984058380127,0.9494249224662781,0.9944259583936333
13528,0.9512786865234375,0.8197470903396606,0.9112645387649536,0.8908588886260986,0.9009461998939514,0.9895086423620403
